model,hardware,strategy,latency_ms,latency_source,throughput_rps,estimated_accuracy,accuracy_source,model_size_mb,facility_energy_kwh,it_energy_kwh,energy_per_1000_inferences_wh,carbon_kgco2,monthly_cost_usd,active_hours_month,meets_latency,meets_accuracy,meets_cost,score
MobileNetV2,Jetson AGX Xavier,Caching + Quantization,0.0604984255915042,measured_adjusted,43498.30465237716,0.9657777777777777,measured_dataset,5.88,9.110297390636969,5.839934224767288,1.822059478127394,3.3799203319263156,2.915422883902301,0.03192972461773833,True,True,True,0.05785953321381781
MobileNetV2,Jetson AGX Xavier,ONNX Runtime,0.06515215063700452,measured_adjusted,21317.621526065795,0.9777777777777777,measured_dataset,14.0,9.110962054573116,5.840360291393023,1.822192410914623,3.380166922246626,2.9157684660659453,0.06515215063700451,True,True,True,0.057885584163144
MobileNetV2,Jetson AGX Xavier,INT8 Quantization,0.06701364065520465,measured_adjusted,21944.610394479492,0.9657777777777777,measured_dataset,5.88,9.110636466566204,5.840151581132182,1.8221272933132409,3.3800461290960615,2.9156568319436604,0.06329066061880441,True,True,True,0.05789220595439851
MobileNetV2,Jetson AGX Xavier,Structured Pruning,0.0763210907462053,measured_adjusted,17240.181721978755,0.9577777777777777,measured_dataset,9.1,9.110929093417562,5.8403391624471555,1.8221858186835125,3.3801546936579157,2.915819554498993,0.0805611513432167,True,True,True,0.057937559205153324
MobileNetV2,Jetson AGX Xavier,Quantization + Batching,0.08562854083720595,measured_adjusted,25951.88707521053,0.9597777777777777,measured_dataset,5.88,9.110310668024772,5.839942735913315,1.8220621336049543,3.3799252578371903,2.91551348512002,0.05351783802325372,True,True,True,0.05797697735050894
MobileNetV2,Jetson AGX Xavier,Measured Sklearn Pipeline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,9.111714832449522,5.840842841313796,1.8223429664899042,3.3804462028387725,2.916265826944458,0.12927014015278676,True,True,True,0.05802090249255495
MobileNetV2,Jetson AGX Xavier,FP32 Baseline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,9.112114122058426,5.841098796191298,1.822422824411685,3.3805943392836757,2.9163935996193073,0.12927014015278676,True,True,True,0.05802342600288322
MobileNetV2,Jetson AGX Xavier,Batch Size 8,0.11168940109200776,measured_adjusted,9524.894724412377,0.9777777777777777,measured_dataset,14.0,9.111507798770692,5.84071012741711,1.8223015597541383,3.3803693933439267,2.9162657624789907,0.14581671809234342,True,True,True,0.05810652976019918
MobileNetV2,Jetson AGX Xavier,Batch Size 32,0.1628803765925113,measured_adjusted,7871.121794239678,0.9777777777777777,measured_dataset,14.0,9.110832170503214,5.840277032373854,1.822166434100643,3.3801187352566924,2.9161721095262627,0.17645374130855393,True,True,True,0.05834127355664394
MobileNetV2,NVIDIA T4,Caching + Quantization,0.0604984255915042,measured_adjusted,43498.30465237716,0.9657777777777777,measured_dataset,5.88,20.49819378506653,13.139867810940082,4.099638757013306,7.604829894259682,156.55980516791672,0.03192972461773833,True,True,True,0.2798312938644096
MobileNetV2,NVIDIA T4,ONNX Runtime,0.06515215063700452,measured_adjusted,21317.621526065795,0.9777777777777777,measured_dataset,14.0,20.499779218907268,13.140884114684145,4.099955843781453,7.605418090214596,156.560711175858,0.06515215063700451,True,True,True,0.27986342985894097
MobileNetV2,NVIDIA T4,INT8 Quantization,0.06701364065520465,measured_adjusted,21944.610394479492,0.9657777777777777,measured_dataset,5.88,20.499017577608186,13.14039588308217,4.099803515521637,7.605135521292636,156.56044511276207,0.06329066061880441,True,True,True,0.2798672809014688
MobileNetV2,NVIDIA T4,Structured Pruning,0.0763210907462053,measured_adjusted,17240.181721978755,0.9577777777777777,measured_dataset,9.1,20.49971833490504,13.14084508647759,4.099943666981008,7.60539550224977,156.56087660098572,0.0805611513432167,True,True,True,0.2799153517005649
MobileNetV2,NVIDIA T4,Quantization + Batching,0.08562854083720595,measured_adjusted,25951.88707521053,0.9597777777777777,measured_dataset,5.88,20.498247217276013,13.139902062356418,4.099649443455203,7.604849717609401,156.5600813235846,0.05351783802325372,True,True,True,0.279949164484481
MobileNetV2,NVIDIA T4,Measured Sklearn Pipeline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,20.501602383327974,13.142052809825625,4.100320476665594,7.606094484214678,156.56206400434678,0.12927014015278676,True,True,True,0.280006025975228
